concept,arm,vintage,seed,dataset,n_rows,auroc_pipeline,auroc_rank
hu_harm,deepseekv4pro,0,42,eval_ai_dilemmas,136,0.5377378892733564,0.5490916955017301
hu_harm,deepseekv4pro,0,43,eval_ai_dilemmas,136,0.5007569204152249,0.5304930795847751
hu_harm,deepseekv4pro,0,44,eval_ai_dilemmas,136,0.5001081314878892,0.5223832179930795
hu_harm,deepseekv4pro,0,45,eval_ai_dilemmas,136,0.5200043252595156,0.5532006920415224
hu_harm,deepseekv4pro,0,46,eval_ai_dilemmas,136,0.5080017301038062,0.5283304498269896
hu_harm,deepseekv4pro,0,47,eval_ai_dilemmas,136,0.5001081314878892,0.5220588235294117
hu_harm,deepseekv4pro,0,48,eval_ai_dilemmas,136,0.5003243944636678,0.5109212802768166
hu_harm,deepseekv4pro,0,49,eval_ai_dilemmas,136,0.5237889273356402,0.5484429065743945
hu_harm,deepseekv4pro,0,50,eval_ai_dilemmas,136,0.5006487889273357,0.521734429065744
hu_harm,deepseekv4pro,0,51,eval_ai_dilemmas,136,0.5363321799307957,0.5717993079584774
hu_harm,deepseekv4pro,1,42,eval_ai_dilemmas,136,0.49891868512110726,0.4959991349480969
hu_harm,deepseekv4pro,1,43,eval_ai_dilemmas,136,0.49307958477508657,0.49253892733564014
hu_harm,deepseekv4pro,1,44,eval_ai_dilemmas,136,0.501621972318339,0.5007569204152249
hu_harm,deepseekv4pro,1,45,eval_ai_dilemmas,136,0.49718858131487886,0.497621107266436
hu_harm,deepseekv4pro,1,46,eval_ai_dilemmas,136,0.49448529411764713,0.4939446366782007
hu_harm,deepseekv4pro,1,47,eval_ai_dilemmas,136,0.4996756055363322,0.4981617647058824
hu_harm,deepseekv4pro,1,48,eval_ai_dilemmas,136,0.4991349480968858,0.49935121107266434
hu_harm,deepseekv4pro,1,49,eval_ai_dilemmas,136,0.5056228373702422,0.5058391003460206
hu_harm,deepseekv4pro,1,50,eval_ai_dilemmas,136,0.5058391003460208,0.5054065743944637
hu_harm,deepseekv4pro,1,51,eval_ai_dilemmas,136,0.5045415224913494,0.5038927335640138
hu_harm,deepseekv4pro,2,42,eval_ai_dilemmas,136,0.582288062283737,0.5821799307958477
hu_harm,deepseekv4pro,2,43,eval_ai_dilemmas,136,0.6300821799307958,0.6283520761245674
hu_harm,deepseekv4pro,2,44,eval_ai_dilemmas,136,0.5630406574394464,0.5634731833910034
hu_harm,deepseekv4pro,2,45,eval_ai_dilemmas,136,0.5365484429065743,0.5368728373702422
hu_harm,deepseekv4pro,2,46,eval_ai_dilemmas,136,0.620674740484429,0.6204584775086505
hu_harm,deepseekv4pro,2,47,eval_ai_dilemmas,136,0.5750432525951557,0.5743944636678201
hu_harm,deepseekv4pro,2,48,eval_ai_dilemmas,136,0.5317906574394463,0.5326557093425606
hu_harm,deepseekv4pro,2,49,eval_ai_dilemmas,136,0.5378460207612457,0.5379541522491349
hu_harm,deepseekv4pro,2,50,eval_ai_dilemmas,136,0.545847750865052,0.5469290657439446
hu_harm,deepseekv4pro,2,51,eval_ai_dilemmas,136,0.598075259515571,0.598075259515571
hu_harm,deepseekv4pro,3,42,eval_ai_dilemmas,136,0.5330882352941175,0.5342776816608996
hu_harm,deepseekv4pro,3,43,eval_ai_dilemmas,136,0.5310337370242214,0.5328719723183392
hu_harm,deepseekv4pro,3,44,eval_ai_dilemmas,136,0.5402249134948097,0.5394679930795848
hu_harm,deepseekv4pro,3,45,eval_ai_dilemmas,136,0.5225994809688581,0.5235726643598616
hu_harm,deepseekv4pro,3,46,eval_ai_dilemmas,136,0.5451989619377162,0.5455233564013842
hu_harm,deepseekv4pro,3,47,eval_ai_dilemmas,136,0.5220588235294117,0.5210856401384083
hu_harm,deepseekv4pro,3,48,eval_ai_dilemmas,136,0.5297361591695502,0.534385813148789
hu_harm,deepseekv4pro,3,49,eval_ai_dilemmas,136,0.5297361591695502,0.5298442906574394
hu_harm,deepseekv4pro,3,50,eval_ai_dilemmas,136,0.535575259515571,0.5369809688581315
hu_harm,deepseekv4pro,3,51,eval_ai_dilemmas,136,0.5208693771626298,0.5278979238754326
hu_harm,gptoss120b,0,42,eval_ai_dilemmas,136,0.5377378892733564,0.5490916955017301
hu_harm,gptoss120b,0,43,eval_ai_dilemmas,136,0.5007569204152249,0.5304930795847751
hu_harm,gptoss120b,0,44,eval_ai_dilemmas,136,0.5001081314878892,0.5223832179930795
hu_harm,gptoss120b,0,45,eval_ai_dilemmas,136,0.5200043252595156,0.5532006920415224
