arm,cohort,row,kind,label,found_iteration,found_error_type,n_seeds,n_misclassified,success_rate,mean_prob,sd_prob,logged_probe_score,pipeline_iter2_prob,pipeline_iter2_wrong
deepseekv4pro,in_v2_train,0,source,negative,0,false_positive,10,0,0.0,0.00148162841796875,0.0002664541691764645,0.98046875,0.00116729736328125,0
deepseekv4pro,in_v2_train,1,source,negative,0,false_positive,10,0,0.0,2.2351741790771484e-05,1.1239475699823857e-05,0.80859375,4.267692565917969e-05,0
deepseekv4pro,in_v2_train,2,source,negative,0,false_positive,10,0,0.0,9.770393371582032e-05,5.10154851207293e-05,1.0,0.0001583099365234375,0
deepseekv4pro,in_v2_train,4,source,negative,0,false_positive,10,0,0.0,0.00615234375,0.0007033328938143835,1.0,0.005218505859375,0
deepseekv4pro,in_v2_train,5,source,negative,0,false_positive,10,0,0.0,0.00023622512817382811,0.000136728097498182,0.94921875,0.00021648406982421875,0
deepseekv4pro,in_v2_train,6,source,negative,0,false_positive,10,0,0.0,3.4797191619873044e-05,8.801677515656283e-06,0.62890625,2.4318695068359375e-05,0
deepseekv4pro,in_v2_train,7,source,negative,0,false_positive,10,0,0.0,0.002733612060546875,0.00047637476224056993,0.94921875,0.002471923828125,0
deepseekv4pro,in_v2_train,8,source,negative,0,false_positive,10,0,0.0,0.0010860443115234375,0.00044740705605792776,1.0,0.0013275146484375,0
deepseekv4pro,in_v2_train,9,source,negative,0,false_positive,10,0,0.0,0.0008092403411865234,0.0004438599242232244,0.99609375,0.000881195068359375,0
deepseekv4pro,in_v2_train,10,source,negative,0,false_positive,10,0,0.0,0.0004681587219238281,0.00026643112823588396,0.9921875,0.00016880035400390625,0
deepseekv4pro,in_v2_train,11,source,negative,0,false_positive,10,0,0.0,0.00449371337890625,0.0005254013685965992,1.0,0.00506591796875,0
deepseekv4pro,in_v2_train,12,source,negative,0,false_positive,10,0,0.0,1.3968348503112793e-05,9.100597296268327e-06,0.60546875,8.940696716308594e-06,0
deepseekv4pro,in_v2_train,13,source,negative,0,false_positive,10,0,0.0,3.27765941619873e-05,1.726261947647317e-05,0.54296875,6.973743438720703e-06,0
deepseekv4pro,in_v2_train,14,source,negative,0,false_positive,10,0,0.0,0.00360870361328125,0.0006842583498593008,0.9296875,0.00360107421875,0
deepseekv4pro,in_v2_train,15,source,negative,0,false_positive,10,0,0.0,0.002739715576171875,0.0006567826072926722,1.0,0.0023956298828125,0
deepseekv4pro,in_v2_train,16,source,negative,0,false_positive,10,0,0.0,0.00336761474609375,0.0007841773950889801,1.0,0.002471923828125,0
deepseekv4pro,in_v2_train,17,source,negative,0,false_positive,10,0,0.0,0.0007452011108398437,0.0004946366680253226,1.0,0.0003147125244140625,0
deepseekv4pro,in_v2_train,18,source,negative,0,false_positive,10,0,0.0,0.0009059906005859375,0.0003846911992681227,0.80078125,0.00057220458984375,0
deepseekv4pro,in_v2_train,19,source,negative,0,false_positive,10,0,0.0,0.00020461082458496095,8.826238767402642e-05,1.0,0.0003681182861328125,0
deepseekv4pro,in_v2_train,20,source,negative,0,false_positive,10,0,0.0,0.0003164768218994141,0.00016271167791551876,0.99609375,0.0002956390380859375,0
deepseekv4pro,in_v2_train,21,source,negative,0,false_positive,10,0,0.0,0.00017839670181274414,8.327343663458126e-05,0.82421875,0.0001316070556640625,0
deepseekv4pro,in_v2_train,22,source,negative,0,false_positive,10,0,0.0,4.858970642089844e-05,1.5394284744409727e-05,0.99609375,4.839897155761719e-05,0
deepseekv4pro,in_v2_train,23,source,negative,0,false_positive,10,0,0.0,1.6826391220092774e-05,6.680156566736785e-06,1.0,5.781650543212891e-06,0
deepseekv4pro,in_v2_train,24,source,negative,0,false_positive,10,0,0.0,0.0024913787841796876,0.0006627540508834535,1.0,0.0037078857421875,0
deepseekv4pro,in_v2_train,25,source,negative,0,false_positive,10,0,0.0,9.98377799987793e-06,4.596218557257303e-06,0.90625,4.798173904418945e-06,0
deepseekv4pro,in_v2_train,26,source,negative,0,false_positive,10,0,0.0,0.000843048095703125,0.00042108894012712444,0.99609375,0.000732421875,0
deepseekv4pro,in_v2_train,27,source,negative,0,false_positive,10,0,0.0,3.057718276977539e-05,9.064305572949183e-06,1.0,1.150369644165039e-05,0
deepseekv4pro,in_v2_train,28,source,negative,0,false_positive,10,0,0.0,0.004430389404296875,0.0028522193246945486,1.0,0.0037078857421875,0
deepseekv4pro,in_v2_train,29,source,negative,0,false_positive,10,0,0.0,0.00014204978942871093,6.333920108725214e-05,1.0,5.14984130859375e-05,0
deepseekv4pro,in_v2_train,30,source,negative,0,false_positive,10,0,0.0,0.00012359619140625,5.4928476336670215e-05,0.99609375,0.000457763671875,0
deepseekv4pro,in_v2_train,31,source,negative,0,false_positive,10,0,0.0,0.004270172119140625,0.005661182166763214,1.0,0.0093994140625,0
deepseekv4pro,in_v2_train,32,source,negative,0,false_positive,10,0,0.0,2.4765729904174805e-05,1.372372407086347e-05,0.99609375,1.895427703857422e-05,0
deepseekv4pro,in_v2_train,33,source,negative,0,false_positive,10,0,0.0,0.0050933837890625,0.0010799610901547228,0.99609375,0.00555419921875,0
deepseekv4pro,in_v2_train,34,source,negative,0,false_positive,10,0,0.0,0.005445098876953125,0.0028981927708477636,0.99609375,0.010986328125,0
deepseekv4pro,in_v2_train,35,source,negative,0,false_positive,10,0,0.0,0.0004345893859863281,0.00017112131878771076,0.71484375,0.0003452301025390625,0
deepseekv4pro,in_v2_train,36,source,negative,0,false_positive,10,0,0.0,0.0009321212768554687,0.00024397508320295015,1.0,0.00057220458984375,0
deepseekv4pro,in_v2_train,37,source,negative,0,false_positive,10,0,0.0,0.00106964111328125,0.0002665209102863338,1.0,0.00113677978515625,0
deepseekv4pro,in_v2_train,38,source,negative,0,false_positive,10,0,0.0,0.0004688262939453125,0.00015279120569269684,0.99609375,0.0003681182861328125,0
deepseekv4pro,in_v2_train,39,source,negative,0,false_positive,10,10,1.0,0.97421875,0.027572210276180054,1.0,0.9765625,1
